# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.cache.filesCreated,1788947825336000000,1788947885342000000,0
VFS.folderCaseSensitivityReads,1788947825336000000,1788947885342000000,0
FileNameCache.queries,1788947825336000000,1788947885342000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788947825336000000,1788947885342000000,0
VFS.ContentWriter.totalFlushes,1788947825336000000,1788947885342000000,0
VFS.fileByIdCache.hits,1788947825336000000,1788947885342000000,0
VFS.fileChildByName,1788947825336000000,1788947885342000000,0
VFS.invertedFileNameIndex.requests,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsRead,1788947825336000000,1788947885342000000,0
VFS.cache.segments,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsStoredCompressed,1788947825336000000,1788947885342000000,0
FileNameCache.totalMisses,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsStored,1788947825336000000,1788947885342000000,0
VFS.rootsCount,1788947825336000000,1788947885342000000,0.0
VFS.ContentWriter.totalTasksExecutedAsync,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsUncompressedSize,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsDeduplicated,1788947825336000000,1788947885342000000,0
VFS.fileByIdCache.misses,1788947825336000000,1788947885342000000,0
VFS.cache.segmentsCreated,1788947825336000000,1788947885342000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsReadSize,1788947825336000000,1788947885342000000,0
VFS.contentStorage.recordsStoredSize,1788947825336000000,1788947885342000000,0
Indexing.cache.totalCacheAccesses,1788947825336000000,1788947885342000000,0
Indexing.writesQueuedMin,1788947825336000000,1788947885342000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1788947825336000000,1788947885342000000,0
Indexing.cache.totalCacheMisses,1788947825336000000,1788947885342000000,0
Indexing.writesQueuedMax,1788947825336000000,1788947885342000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788947825336000000,1788947885342000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788947825336000000,1788947885342000000,0
Indexing.cache.totalCacheEvicted,1788947825336000000,1788947885342000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788947825336000000,1788947885342000000,0
Indexing.totalTimeIndexersSleptMs,1788947825336000000,1788947885342000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788947825336000000,1788947885342000000,0
writeAction.median.wait.ms,1788947825336000000,1788947885342000000,0
writeAction.count,1788947825336000000,1788947885342000000,0
writeAction.wait.ms,1788947825336000000,1788947885342000000,0
writeAction.max.wait.ms,1788947825336000000,1788947885342000000,2
FilePageCache.totalPageStoresUs,1788947825336000000,1788947885342000000,10470
FilePageCache.totalPageLoadsUs,1788947825336000000,1788947885342000000,0
FilePageCache.totalBytesStored,1788947825336000000,1788947885342000000,960
FilePageCache.WAL.flushesForcedByOverflow,1788947825336000000,1788947885342000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788947825336000000,1788947885342000000,0
DirectByteBufferAllocator.misses,1788947825336000000,1788947885342000000,0
MappedFileStorage.totalPagesMapped,1788947825336000000,1788947885342000000,8
FilePageCache.capacityInBytes,1788947825336000000,1788947885342000000,629145600
FilePageCache.WAL.entriesFlushedOnForce,1788947825336000000,1788947885342000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788947825336000000,1788947885342000000,41959424
FilePageCache.WAL.entriesFlushedOnClose,1788947825336000000,1788947885342000000,0
FilePageCache.totalPageDisposalsUs,1788947825336000000,1788947885342000000,0
StreamlinedBlobStorage.recordsRelocated,1788947825336000000,1788947885342000000,0
MappedFileStorage.totalBytesMapped,1788947825336000000,1788947885342000000,232783872
DirectByteBufferAllocator.hits,1788947825336000000,1788947885342000000,0
StorageLockContext.competingThreads.avg,1788947825336000000,1788947885342000000,0.0
FilePageCache.WAL.entriesFlushed,1788947825336000000,1788947885342000000,0
FilePageCache.WAL.bytesQueued,1788947825336000000,1788947885342000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788947825336000000,1788947885342000000,10672
FilePageCache.maxRegisteredFiles,1788947825336000000,1788947885342000000,1072
FilePageCache.maxCacheSizeInBytes,1788947825336000000,1788947885342000000,400572416
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788947825336000000,1788947885342000000,0
FilePageCache.disposedBuffers,1788947825336000000,1788947885342000000,0
FilePageCache.pageLoads,1788947825336000000,1788947885342000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788947825336000000,1788947885342000000,0
StreamlinedBlobStorage.recordsDeleted,1788947825336000000,1788947885342000000,0
StorageLockContext.competingThreads.max,1788947825336000000,1788947885342000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788947825336000000,1788947885342000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788947825336000000,1788947885342000000,0
StorageLockContext.competingThreads.90P,1788947825336000000,1788947885342000000,0
StreamlinedBlobStorage.recordsAllocated,1788947825336000000,1788947885342000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788947825336000000,1788947885342000000,8192
FilePageCache.pageFastCacheHits,1788947825336000000,1788947885342000000,180
DirectByteBufferAllocator.disposed,1788947825336000000,1788947885342000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788947825336000000,1788947885342000000,0
FilePageCache.uncachedFileAccess,1788947825336000000,1788947885342000000,60
MappedFileStorage.storages,1788947825336000000,1788947885342000000,8
FileChannelInterruptsRetryer.totalRetriedAttempts,1788947825336000000,1788947885342000000,0
DirectByteBufferAllocator.reclaimed,1788947825336000000,1788947885342000000,0
FilePageCache.pageHits,1788947825336000000,1788947885342000000,0
AWTEventQueue.dispatchTimeTotalNS,1788947825336000000,1788947885342000000,15489345
FlushQueue.queueSizeAvg,1788947825336000000,1788947885342000000,0.0
FlushQueue.executionTimeAvgNs,1788947825336000000,1788947885342000000,0.0
WriteAction.executionsCount,1788947825336000000,1788947885342000000,0
AWTEventQueue.dispatchTime90PNs,1788947825336000000,1788947885342000000,0
FlushQueue.executionTime90PNs,1788947825336000000,1788947885342000000,0
FlushQueue.queueSizeMax,1788947825336000000,1788947885342000000,0
FlushQueue.waitingTimeAvgNs,1788947825336000000,1788947885342000000,0.0
ReadAction.executionsCount,1788947825336000000,1788947885342000000,60
FlushQueue.tasksExecuted,1788947825336000000,1788947885342000000,0
FlushQueue.executionTimeMaxNs,1788947825336000000,1788947885342000000,0
AWTEventQueue.dispatchTimeMaxNs,1788947825336000000,1788947885342000000,0
AWTEventQueue.dispatchTimeAvgNs,1788947825336000000,1788947885342000000,0.0
AWTEventQueue.eventsDispatched,1788947825336000000,1788947885342000000,0
FlushQueue.queueSize90P,1788947825336000000,1788947885342000000,0
FlushQueue.waitingTime90PNs,1788947825336000000,1788947885342000000,0
FlushQueue.waitingTimeMaxNs,1788947825336000000,1788947885342000000,0
jps.library.entities.serializer.save.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.instances.count,1788947825336000000,1788947885342000000,0
workspaceModel.sync.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788947825336000000,1788947885342000000,0
jps.global.initialize.library.bridges.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788947825336000000,1788947885342000000,0
jps.global.handle.before.change.events.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788947825336000000,1788947885342000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788947825336000000,1788947885342000000,0
jps.library.entities.serializer.load.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.save.cache.to.file.ms,1788947825336000000,1788947885342000000,0
jps.global.get.library.by.name.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788947825336000000,1788947885342000000,0
workspaceModel.load.cache.from.file.ms,1788947825336000000,1788947885342000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788947825336000000,1788947885342000000,0
jps.load.initial.state.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788947825336000000,1788947885342000000,0
workspaceModel.global.updates.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788947825336000000,1788947885342000000,0
jps.save.global.entities.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788947825336000000,1788947885342000000,0
workspaceModel.global.updates.count,1788947825336000000,1788947885342000000,0
workspaceModel.global.apply.state.to.project.ms,1788947825336000000,1788947885342000000,0
jps.app.storage.content.writer.save.component.ms,1788947825336000000,1788947885342000000,0
jps.global.get.libraries.ms,1788947825336000000,1788947885342000000,0
jps.global.handle.changed.events.ms,1788947825336000000,1788947885342000000,0
jps.global.get.library.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788947825336000000,1788947885342000000,0
jps.app.storage.content.reader.load.component.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788947825336000000,1788947885342000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788947825336000000,1788947885342000000,0
cacheStateStorage.get.duration,1788947885342000000,1788947945342000000,0
cacheStateStorage.get.counter,1788947885342000000,1788947945342000000,0
cacheStateStorage.set.duration,1788947885342000000,1788947945342000000,0
cacheStateStorage.set.counter,1788947885342000000,1788947945342000000,0
VFS.cache.directoriesCreated,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsReadDecompressed,1788947885342000000,1788947945342000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788947885342000000,1788947945342000000,0
VFS.cache.filesCreated,1788947885342000000,1788947945342000000,0
VFS.folderCaseSensitivityReads,1788947885342000000,1788947945342000000,0
FileNameCache.queries,1788947885342000000,1788947945342000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788947885342000000,1788947945342000000,0
VFS.ContentWriter.totalFlushes,1788947885342000000,1788947945342000000,0
VFS.fileByIdCache.hits,1788947885342000000,1788947945342000000,0
VFS.fileChildByName,1788947885342000000,1788947945342000000,0
VFS.invertedFileNameIndex.requests,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsRead,1788947885342000000,1788947945342000000,0
VFS.cache.segments,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsStoredCompressed,1788947885342000000,1788947945342000000,0
FileNameCache.totalMisses,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsStored,1788947885342000000,1788947945342000000,0
VFS.rootsCount,1788947885342000000,1788947945342000000,0.0
VFS.ContentWriter.totalTasksExecutedAsync,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsUncompressedSize,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsDeduplicated,1788947885342000000,1788947945342000000,0
VFS.fileByIdCache.misses,1788947885342000000,1788947945342000000,0
VFS.cache.segmentsCreated,1788947885342000000,1788947945342000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsReadSize,1788947885342000000,1788947945342000000,0
VFS.contentStorage.recordsStoredSize,1788947885342000000,1788947945342000000,0
Indexing.cache.totalCacheAccesses,1788947885342000000,1788947945342000000,0
Indexing.writesQueuedMin,1788947885342000000,1788947945342000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1788947885342000000,1788947945342000000,0
Indexing.cache.totalCacheMisses,1788947885342000000,1788947945342000000,0
Indexing.writesQueuedMax,1788947885342000000,1788947945342000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788947885342000000,1788947945342000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788947885342000000,1788947945342000000,0
Indexing.cache.totalCacheEvicted,1788947885342000000,1788947945342000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788947885342000000,1788947945342000000,0
Indexing.totalTimeIndexersSleptMs,1788947885342000000,1788947945342000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788947885342000000,1788947945342000000,0
writeAction.median.wait.ms,1788947885342000000,1788947945342000000,0
writeAction.count,1788947885342000000,1788947945342000000,0
writeAction.wait.ms,1788947885342000000,1788947945342000000,0
writeAction.max.wait.ms,1788947885342000000,1788947945342000000,2
FilePageCache.totalPageStoresUs,1788947885342000000,1788947945342000000,9382
FilePageCache.totalPageLoadsUs,1788947885342000000,1788947945342000000,0
FilePageCache.totalBytesStored,1788947885342000000,1788947945342000000,960
FilePageCache.WAL.flushesForcedByOverflow,1788947885342000000,1788947945342000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788947885342000000,1788947945342000000,0
DirectByteBufferAllocator.misses,1788947885342000000,1788947945342000000,0
MappedFileStorage.totalPagesMapped,1788947885342000000,1788947945342000000,8
FilePageCache.capacityInBytes,1788947885342000000,1788947945342000000,629145600
FilePageCache.WAL.entriesFlushedOnForce,1788947885342000000,1788947945342000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788947885342000000,1788947945342000000,41959424
FilePageCache.WAL.entriesFlushedOnClose,1788947885342000000,1788947945342000000,0
FilePageCache.totalPageDisposalsUs,1788947885342000000,1788947945342000000,0
StreamlinedBlobStorage.recordsRelocated,1788947885342000000,1788947945342000000,0
MappedFileStorage.totalBytesMapped,1788947885342000000,1788947945342000000,232783872
DirectByteBufferAllocator.hits,1788947885342000000,1788947945342000000,0
StorageLockContext.competingThreads.avg,1788947885342000000,1788947945342000000,0.0
FilePageCache.WAL.entriesFlushed,1788947885342000000,1788947945342000000,0
FilePageCache.WAL.bytesQueued,1788947885342000000,1788947945342000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788947885342000000,1788947945342000000,10672
FilePageCache.maxRegisteredFiles,1788947885342000000,1788947945342000000,1072
FilePageCache.maxCacheSizeInBytes,1788947885342000000,1788947945342000000,400572416
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788947885342000000,1788947945342000000,0
FilePageCache.disposedBuffers,1788947885342000000,1788947945342000000,0
FilePageCache.pageLoads,1788947885342000000,1788947945342000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788947885342000000,1788947945342000000,0
StreamlinedBlobStorage.recordsDeleted,1788947885342000000,1788947945342000000,0
StorageLockContext.competingThreads.max,1788947885342000000,1788947945342000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788947885342000000,1788947945342000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788947885342000000,1788947945342000000,0
StorageLockContext.competingThreads.90P,1788947885342000000,1788947945342000000,0
StreamlinedBlobStorage.recordsAllocated,1788947885342000000,1788947945342000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788947885342000000,1788947945342000000,8192
FilePageCache.pageFastCacheHits,1788947885342000000,1788947945342000000,180
DirectByteBufferAllocator.disposed,1788947885342000000,1788947945342000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788947885342000000,1788947945342000000,0
FilePageCache.uncachedFileAccess,1788947885342000000,1788947945342000000,60
MappedFileStorage.storages,1788947885342000000,1788947945342000000,8
FileChannelInterruptsRetryer.totalRetriedAttempts,1788947885342000000,1788947945342000000,0
DirectByteBufferAllocator.reclaimed,1788947885342000000,1788947945342000000,0
FilePageCache.pageHits,1788947885342000000,1788947945342000000,0
AWTEventQueue.dispatchTimeTotalNS,1788947885342000000,1788947945342000000,13803057
FlushQueue.queueSizeAvg,1788947885342000000,1788947945342000000,0.0
FlushQueue.executionTimeAvgNs,1788947885342000000,1788947945342000000,0.0
WriteAction.executionsCount,1788947885342000000,1788947945342000000,0
AWTEventQueue.dispatchTime90PNs,1788947885342000000,1788947945342000000,0
FlushQueue.executionTime90PNs,1788947885342000000,1788947945342000000,0
FlushQueue.queueSizeMax,1788947885342000000,1788947945342000000,0
FlushQueue.waitingTimeAvgNs,1788947885342000000,1788947945342000000,0.0
ReadAction.executionsCount,1788947885342000000,1788947945342000000,60
FlushQueue.tasksExecuted,1788947885342000000,1788947945342000000,0
FlushQueue.executionTimeMaxNs,1788947885342000000,1788947945342000000,0
AWTEventQueue.dispatchTimeMaxNs,1788947885342000000,1788947945342000000,0
AWTEventQueue.dispatchTimeAvgNs,1788947885342000000,1788947945342000000,0.0
AWTEventQueue.eventsDispatched,1788947885342000000,1788947945342000000,0
FlushQueue.queueSize90P,1788947885342000000,1788947945342000000,0
FlushQueue.waitingTime90PNs,1788947885342000000,1788947945342000000,0
FlushQueue.waitingTimeMaxNs,1788947885342000000,1788947945342000000,0
jps.library.entities.serializer.save.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.instances.count,1788947885342000000,1788947945342000000,0
workspaceModel.sync.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788947885342000000,1788947945342000000,0
jps.global.initialize.library.bridges.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788947885342000000,1788947945342000000,0
jps.global.handle.before.change.events.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788947885342000000,1788947945342000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788947885342000000,1788947945342000000,0
jps.library.entities.serializer.load.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.save.cache.to.file.ms,1788947885342000000,1788947945342000000,0
jps.global.get.library.by.name.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788947885342000000,1788947945342000000,0
workspaceModel.load.cache.from.file.ms,1788947885342000000,1788947945342000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788947885342000000,1788947945342000000,0
jps.load.initial.state.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788947885342000000,1788947945342000000,0
workspaceModel.global.updates.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788947885342000000,1788947945342000000,0
jps.save.global.entities.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788947885342000000,1788947945342000000,0
workspaceModel.global.updates.count,1788947885342000000,1788947945342000000,0
workspaceModel.global.apply.state.to.project.ms,1788947885342000000,1788947945342000000,0
jps.app.storage.content.writer.save.component.ms,1788947885342000000,1788947945342000000,0
jps.global.get.libraries.ms,1788947885342000000,1788947945342000000,0
jps.global.handle.changed.events.ms,1788947885342000000,1788947945342000000,0
jps.global.get.library.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788947885342000000,1788947945342000000,0
jps.app.storage.content.reader.load.component.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788947885342000000,1788947945342000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788947885342000000,1788947945342000000,0
cacheStateStorage.get.duration,1788947945342000000,1788948005339000000,0
cacheStateStorage.get.counter,1788947945342000000,1788948005339000000,0
cacheStateStorage.set.duration,1788947945342000000,1788948005339000000,0
cacheStateStorage.set.counter,1788947945342000000,1788948005339000000,0
VFS.cache.directoriesCreated,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsReadDecompressed,1788947945342000000,1788948005339000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788947945342000000,1788948005339000000,0
VFS.cache.filesCreated,1788947945342000000,1788948005339000000,0
VFS.folderCaseSensitivityReads,1788947945342000000,1788948005339000000,0
FileNameCache.queries,1788947945342000000,1788948005339000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788947945342000000,1788948005339000000,0
VFS.ContentWriter.totalFlushes,1788947945342000000,1788948005339000000,0
VFS.fileByIdCache.hits,1788947945342000000,1788948005339000000,0
VFS.fileChildByName,1788947945342000000,1788948005339000000,0
VFS.invertedFileNameIndex.requests,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsRead,1788947945342000000,1788948005339000000,0
VFS.cache.segments,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsStoredCompressed,1788947945342000000,1788948005339000000,0
FileNameCache.totalMisses,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsStored,1788947945342000000,1788948005339000000,0
VFS.rootsCount,1788947945342000000,1788948005339000000,0.0
VFS.ContentWriter.totalTasksExecutedAsync,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsUncompressedSize,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsDeduplicated,1788947945342000000,1788948005339000000,0
VFS.fileByIdCache.misses,1788947945342000000,1788948005339000000,0
VFS.cache.segmentsCreated,1788947945342000000,1788948005339000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsReadSize,1788947945342000000,1788948005339000000,0
VFS.contentStorage.recordsStoredSize,1788947945342000000,1788948005339000000,0
Indexing.cache.totalCacheAccesses,1788947945342000000,1788948005339000000,0
Indexing.writesQueuedMin,1788947945342000000,1788948005339000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1788947945342000000,1788948005339000000,0
Indexing.cache.totalCacheMisses,1788947945342000000,1788948005339000000,0
Indexing.writesQueuedMax,1788947945342000000,1788948005339000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788947945342000000,1788948005339000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788947945342000000,1788948005339000000,0
Indexing.cache.totalCacheEvicted,1788947945342000000,1788948005339000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788947945342000000,1788948005339000000,0
Indexing.totalTimeIndexersSleptMs,1788947945342000000,1788948005339000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788947945342000000,1788948005339000000,0
writeAction.median.wait.ms,1788947945342000000,1788948005339000000,0
writeAction.count,1788947945342000000,1788948005339000000,0
writeAction.wait.ms,1788947945342000000,1788948005339000000,0
writeAction.max.wait.ms,1788947945342000000,1788948005339000000,2
FilePageCache.totalPageStoresUs,1788947945342000000,1788948005339000000,9174
FilePageCache.totalPageLoadsUs,1788947945342000000,1788948005339000000,0
FilePageCache.totalBytesStored,1788947945342000000,1788948005339000000,960
FilePageCache.WAL.flushesForcedByOverflow,1788947945342000000,1788948005339000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788947945342000000,1788948005339000000,0
DirectByteBufferAllocator.misses,1788947945342000000,1788948005339000000,0
MappedFileStorage.totalPagesMapped,1788947945342000000,1788948005339000000,8
FilePageCache.capacityInBytes,1788947945342000000,1788948005339000000,629145600
FilePageCache.WAL.entriesFlushedOnForce,1788947945342000000,1788948005339000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788947945342000000,1788948005339000000,41959424
FilePageCache.WAL.entriesFlushedOnClose,1788947945342000000,1788948005339000000,0
FilePageCache.totalPageDisposalsUs,1788947945342000000,1788948005339000000,0
StreamlinedBlobStorage.recordsRelocated,1788947945342000000,1788948005339000000,0
MappedFileStorage.totalBytesMapped,1788947945342000000,1788948005339000000,232783872
DirectByteBufferAllocator.hits,1788947945342000000,1788948005339000000,0
StorageLockContext.competingThreads.avg,1788947945342000000,1788948005339000000,0.0
FilePageCache.WAL.entriesFlushed,1788947945342000000,1788948005339000000,0
FilePageCache.WAL.bytesQueued,1788947945342000000,1788948005339000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788947945342000000,1788948005339000000,10672
FilePageCache.maxRegisteredFiles,1788947945342000000,1788948005339000000,1072
FilePageCache.maxCacheSizeInBytes,1788947945342000000,1788948005339000000,400572416
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788947945342000000,1788948005339000000,0
FilePageCache.disposedBuffers,1788947945342000000,1788948005339000000,0
FilePageCache.pageLoads,1788947945342000000,1788948005339000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788947945342000000,1788948005339000000,0
StreamlinedBlobStorage.recordsDeleted,1788947945342000000,1788948005339000000,0
StorageLockContext.competingThreads.max,1788947945342000000,1788948005339000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788947945342000000,1788948005339000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788947945342000000,1788948005339000000,0
StorageLockContext.competingThreads.90P,1788947945342000000,1788948005339000000,0
StreamlinedBlobStorage.recordsAllocated,1788947945342000000,1788948005339000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788947945342000000,1788948005339000000,8192
FilePageCache.pageFastCacheHits,1788947945342000000,1788948005339000000,180
DirectByteBufferAllocator.disposed,1788947945342000000,1788948005339000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788947945342000000,1788948005339000000,0
FilePageCache.uncachedFileAccess,1788947945342000000,1788948005339000000,60
MappedFileStorage.storages,1788947945342000000,1788948005339000000,8
FileChannelInterruptsRetryer.totalRetriedAttempts,1788947945342000000,1788948005339000000,0
DirectByteBufferAllocator.reclaimed,1788947945342000000,1788948005339000000,0
FilePageCache.pageHits,1788947945342000000,1788948005339000000,0
